v.id,years,km,rating,condition,economy,top speed,hp,torque,current price
51,5,113301,1,8,13,162,79,122,230090.5
52,2,139139,4,9,9,154,108,80,108741
53,3,56698,4,1,9,198,98,118,530759
54,6,134933,2,5,11,181,112,73,151474
55,4,119131,1,3,9,181,105,137,242173.5
56,7,91182,2,10,15,178,53,71,360008
57,6,70499,5,5,11,184,51,78,382461.5
58,7,79813,3,1,13,158,110,138,444625
59,3,65710,2,6,13,165,107,124,457581
60,2,88139,1,1,10,200,66,118,381351.5
61,7,122778,2,9,9,136,106,136,258300
62,3,140885,4,8,12,151,59,114,116254.5
63,7,146376,3,10,12,141,58,112,171620
64,3,67689,4,6,11,176,55,102,483708.5
65,5,94688,5,3,9,173,84,99,389512
66,2,121698,1,8,13,156,89,96,203811.5
67,4,99207,4,2,14,160,64,100,325176
68,5,94365,1,4,8,194,81,95,300499.5
69,5,113638,4,9,8,171,51,120,309455
70,5,111461,2,8,12,142,73,114,304216.5
71,3,129721,3,2,14,146,84,93,206335.5
72,6,54169,3,2,12,191,102,111,475273.5
73,3,52156,4,7,13,143,118,90,468543
74,4,50714,1,10,15,178,85,125,529318.5
75,4,129978,5,3,14,169,105,90,124847.5
76,6,104924,1,3,11,158,55,125,295002
77,7,124272,2,3,13,146,69,119,153991
78,2,114702,4,5,11,175,61,120,206591
79,5,91792,5,5,15,189,82,68,298023
80,4,114468,2,8,11,137,55,140,221412.5
81,2,62563,2,4,12,158,110,118,424781
82,2,77250,2,8,15,184,114,101,413288
83,3,115617,5,3,10,151,58,69,315403.5
84,7,81941,3,10,11,144,60,129,498148
85,2,87661,1,8,11,150,107,82,336181.5
86,6,78783,3,8,13,165,89,70,350647.5
87,4,135574,4,8,9,156,66,106,160150.5
88,4,79799,4,6,14,166,84,121,353318
89,6,68791,5,9,13,154,92,127,370175
90,7,67045,1,8,13,188,118,127,429669
91,7,97320,3,10,13,175,82,114,324260
92,5,112977,1,4,10,194,110,139,240926
93,7,64457,5,7,13,159,77,76,381960
94,4,141405,4,2,10,197,72,107,199313.5
95,7,105139,5,3,11,197,114,87,291815.5
96,2,122212,3,8,15,143,73,106,273674.5
97,3,50460,2,3,9,183,68,90,528794
98,6,143513,3,6,15,141,117,102,119387
99,7,98931,4,8,12,162,104,74,351704.5
100,2,140286,2,4,11,172,79,105,168940.5
101,4,78314,2,3,15,188,65,138,333672
102,3,110549,5,9,10,183,79,111,357294
103,2,118272,4,10,9,152,118,79,307008
104,4,96206,5,4,8,194,53,71,349762
105,7,52701,5,7,9,184,108,84,417693.5
106,4,67968,1,1,14,165,119,121,510929
107,4,66514,3,10,13,139,50,69,438223
108,3,130238,1,7,13,200,58,72,198738
109,2,61760,4,1,11,136,117,77,498418
110,2,52701,3,5,8,143,59,128,479318.5
111,5,61160,3,6,9,167,65,106,490779.5
112,7,74321,2,2,12,192,113,95,437043.5
113,7,119412,3,6,8,184,80,118,148491
114,6,104220,3,9,8,198,119,129,378132.5
115,6,130732,4,9,10,135,90,83,172032.5
116,2,131804,2,4,8,144,55,76,230428.5
117,2,74161,4,9,11,179,100,107,457880.5
118,2,115874,4,9,8,155,51,119,239400
119,6,105989,3,4,9,149,78,119,269532.5
120,4,112697,4,4,11,142,99,124,311773.5
121,4,87427,1,6,12,151,79,74,372595.5
122,3,60414,3,5,12,164,110,72,482353.5
123,3,147158,2,1,8,159,62,82,109367
124,4,119637,1,7,14,146,59,136,280209
125,7,93270,2,5,12,192,89,100,342427
126,7,83487,4,5,10,141,62,79,378071.5
127,5,68992,3,3,15,195,106,73,459095
128,3,149413,1,6,12,186,86,89,104215
129,5,74320,2,3,13,144,92,73,330908.5
130,4,93630,4,8,15,182,96,135,364898
131,2,115616,1,3,9,141,101,98,256356
132,2,74396,1,6,15,159,95,134,355175
133,2,139517,4,2,11,179,102,71,96554
134,2,75311,4,4,10,143,74,89,425960
135,7,60944,4,6,11,151,116,111,489368
136,5,125694,2,7,13,155,86,123,207352.5
137,7,124033,4,10,13,146,107,121,232526.5
138,5,66028,5,9,12,177,57,126,382676
139,5,133840,1,5,11,141,73,97,186356.5
140,7,148642,5,1,8,158,66,88,114860
141,5,84645,4,9,14,170,104,90,405950
142,7,135305,5,7,14,197,52,84,163225
143,7,112910,4,5,10,171,107,113,272437.5
144,7,115951,1,4,8,197,102,90,220518
145,4,90509,4,5,14,143,50,134,306745.5
146,4,54984,3,5,14,169,50,120,483884
147,2,55584,4,2,8,179,106,85,512492
148,3,114559,1,4,9,180,76,71,237730
149,3,146540,3,7,9,164,63,92,128489.5
150,6,125188,1,2,13,156,81,135,202503
151,6,74444,5,3,8,188,80,79,392635.5
152,4,124042,2,9,9,139,53,120,201073
153,5,69621,3,1,8,164,86,114,453069
154,6,124754,1,6,10,198,61,98,256331.5
155,2,107712,5,10,11,183,68,75,333133
156,4,103666,5,6,15,152,96,108,291810
157,2,110771,3,6,13,196,53,75,301591
158,2,104980,2,5,10,181,76,129,255901.5
159,7,105481,3,9,8,139,53,102,297886
160,7,60237,4,3,11,185,74,100,385196
161,2,54601,5,6,14,198,89,84,504643.5
162,7,61872,2,5,8,191,76,100,427496.5
163,2,145509,1,5,13,139,79,78,150076
164,4,86272,3,10,8,192,96,78,375118
165,6,135473,5,5,12,158,63,100,140798.5
166,3,86838,1,7,11,181,96,119,423231.5
167,3,120151,5,9,12,142,70,80,217562
168,3,120926,5,7,9,166,105,131,299129.5
169,3,76363,4,8,8,152,115,84,503606.5
170,3,89634,1,2,13,183,65,116,394208.5
171,5,60199,1,10,12,185,118,137,558253
172,4,105279,4,9,10,158,59,99,289049.5
173,5,111631,4,1,8,136,113,115,219462.5
174,7,101835,4,8,10,193,84,81,318951
175,6,115822,4,8,13,188,100,117,216831.5
176,6,64547,1,2,15,172,56,99,464634.5
177,3,139295,5,10,12,150,79,112,243097
178,4,60086,5,2,11,168,107,95,439166
179,7,91095,4,7,15,161,119,105,312323.5
180,6,85070,1,10,11,158,102,130,459833.5
181,7,113280,4,5,11,179,85,102,206678
182,4,125669,1,3,12,153,74,74,185485.5
183,5,109579,5,9,8,135,94,110,253476.5
184,6,127322,1,2,15,198,63,136,178520
185,2,145030,2,3,15,179,67,71,58384
186,6,135163,3,4,11,188,70,106,172462
187,6,87261,2,9,14,145,79,79,398998
188,7,120138,3,9,10,155,52,105,224533.5
189,2,146254,3,5,8,151,74,77,107500.5
190,5,70453,4,7,12,170,115,134,460075
191,2,133843,3,5,13,141,84,129,167978.5
192,6,79797,1,10,10,192,63,117,392920.5
193,6,64667,4,4,9,150,106,139,408860.5
194,3,61501,3,5,13,142,62,132,480307
195,5,136622,2,3,12,164,119,75,175102.5
196,6,58064,3,10,8,137,87,86,520659.5
197,5,76096,5,5,13,162,91,83,344820.5
198,2,127410,3,1,12,177,92,128,213768.5
199,3,148234,1,4,10,191,82,94,152879.5
200,5,98772,1,10,14,138,119,94,308867
201,4,145796,4,1,13,176,52,120,159614.5
202,2,87506,5,6,10,185,95,110,331819.5
203,5,107869,4,1,9,165,74,85,304923.5
204,5,148481,2,10,12,172,96,125,166571
205,7,127042,5,6,11,135,86,82,158951.5
206,2,80503,1,4,9,168,101,136,352284.5
207,6,136584,1,8,11,182,108,79,157507
208,7,55973,3,9,15,177,53,85,532570.5
209,4,64764,4,10,9,151,99,135,484480.5
210,5,142275,5,10,10,185,86,80,156825.5
211,5,137960,4,3,8,197,115,70,120092.5
212,6,58604,3,4,11,153,117,105,400257
213,7,103143,2,2,12,155,111,117,322204
214,6,58901,1,4,8,187,79,84,493994
215,5,52489,2,9,11,153,56,99,584116.5
216,5,97013,3,3,15,180,99,100,317168.5
217,6,127668,2,6,14,188,107,132,149141.5
218,6,125022,3,10,14,188,85,137,229982
219,7,122196,1,6,13,194,94,139,275837.5
220,6,101287,5,1,10,140,55,74,287588.5
221,7,55789,3,7,11,162,81,105,512885.5
222,4,116213,1,3,12,190,74,123,262576
223,3,68247,3,7,13,189,103,107,424305
224,7,127229,1,6,9,175,64,134,98242.5
225,3,87005,3,9,13,142,56,138,406657.5
226,7,132541,3,4,11,185,83,95,146568
227,7,63498,1,10,10,173,108,72,486590
228,4,84131,5,8,11,185,72,125,379491
229,3,50815,3,1,8,181,115,78,475001.5
230,3,90829,5,5,11,141,58,68,389610
231,7,79220,1,8,15,200,116,90,420075.5
232,3,112953,2,5,11,188,53,81,309449
233,4,143998,1,1,9,169,118,129,148734.5
234,5,80054,4,6,14,186,53,126,369571.5
235,5,89569,1,5,10,189,64,119,269326
236,4,122813,2,5,12,169,70,121,245796
237,5,91204,5,5,15,183,76,133,296829
238,4,69558,2,2,10,140,66,115,479031
239,7,60345,3,9,12,183,94,99,545171
240,7,64973,4,7,10,186,113,126,490000.5
241,3,92903,4,5,8,162,54,140,316827.5
242,3,71701,5,3,13,169,87,69,414035
243,7,105503,3,8,9,177,87,115,296565.5
244,5,148077,2,4,9,182,116,134,97280.5
245,6,73541,4,1,9,153,62,82,477912
246,5,125514,3,10,13,169,119,74,258692
247,5,60253,5,7,12,173,98,102,433627
248,7,67696,4,7,9,175,83,82,483663.5
249,7,73851,1,5,10,175,109,116,411701
250,5,122976,5,4,9,179,105,75,175012.5
251,4,62513,4,3,9,148,115,122,457793
252,7,125268,1,7,11,176,99,116,208468
253,3,114156,1,2,11,182,95,95,286937.5
254,2,114405,5,3,14,179,63,71,167281.5
255,7,141406,3,7,13,156,111,78,100927
256,3,91163,5,6,9,180,109,138,340165
257,3,112964,2,8,13,155,106,79,211528.5
258,6,56937,5,9,14,185,64,117,446300.5
259,3,141554,1,10,14,178,74,95,140061.5
260,5,78169,2,9,8,181,110,100,403886.5
261,2,101865,5,6,9,195,67,138,330281.5
262,4,101263,5,3,9,168,59,129,348000
263,7,144949,5,6,12,151,68,108,94467.5
264,6,132152,1,5,15,144,80,105,122225.5
265,5,68013,3,5,15,179,107,81,492681.5
266,7,97160,3,5,15,165,69,99,318148
267,3,111289,2,1,12,153,80,97,306660
268,2,75116,5,3,8,158,120,89,404800.5
269,5,122974,1,2,9,193,111,78,164382
270,7,52712,5,7,13,136,91,125,547378
271,5,78154,5,6,10,165,100,124,441865
272,3,102435,5,6,9,146,70,119,344495
273,2,51894,4,8,15,160,108,75,458139
274,2,138955,2,2,14,181,106,118,167794
275,4,98980,4,7,13,146,106,125,333091.5
276,2,118664,5,5,10,137,60,104,212553.5
277,4,52266,3,5,13,139,100,124,553901
278,5,136497,1,1,14,191,80,110,242273.5
279,4,129251,2,3,13,142,77,110,178642.5
280,7,124062,4,5,8,186,85,125,257565.5
281,6,67692,4,6,8,151,84,126,432836
282,4,100003,1,6,14,151,90,132,275385
283,3,95495,2,9,10,137,56,78,348535
284,2,127404,1,3,14,144,67,118,169125.5
285,7,59454,3,9,11,135,84,71,508328.5
286,2,116626,2,1,11,143,58,138,172758.5
287,7,111194,2,10,10,199,57,133,299645
288,7,63098,3,2,15,187,98,131,499185.5
289,5,82580,4,3,12,187,98,100,299609
290,4,101567,2,7,9,143,84,92,312593
291,4,135652,4,4,11,140,86,72,145898.5
292,2,130004,3,6,10,198,57,99,276805.5
293,5,143526,3,7,8,175,110,137,64531
294,4,123140,5,9,15,162,60,79,177509.5
295,5,140488,2,6,12,149,96,93,81507.5
296,5,71198,5,2,10,146,55,118,458463.5
297,3,120144,4,6,10,190,80,88,218814
298,7,95032,3,3,14,164,71,138,217446
299,7,126379,1,1,8,147,97,119,121022
300,3,60367,3,9,12,178,50,97,538075.5
301,4,69525,1,8,9,181,111,68,415493
302,6,58798,4,5,8,171,61,82,496671
303,3,64120,3,6,13,144,51,113,481862
304,6,58398,4,4,13,182,101,105,465338.5
305,2,103983,3,5,13,159,72,102,227845.5
306,5,63020,4,7,8,186,82,95,398023
307,2,138370,2,7,14,169,60,108,182219.5
308,2,139638,2,9,15,164,56,74,108223.5
309,4,78673,4,7,12,179,77,94,333655.5
310,2,55690,4,5,11,190,83,106,462715.5
311,3,92577,3,10,15,162,117,87,392864
312,2,65706,4,10,8,148,84,75,423507
313,7,71571,1,2,14,136,50,100,403213.5
314,6,88184,4,7,14,141,81,113,354409.5
315,6,57026,3,9,8,184,69,134,487717
316,7,56749,2,4,12,135,66,124,459686.5
317,3,127775,5,4,9,182,120,129,187009
318,5,106474,3,2,12,197,115,115,304104.5
319,3,97934,5,5,10,184,113,79,340112
320,7,125057,5,5,10,150,62,135,184092.5
321,3,52686,1,8,12,191,71,73,553855
322,3,129779,1,5,11,169,119,106,192853.5
323,5,139287,2,7,12,170,111,104,108894
324,7,98529,3,6,12,143,69,138,281037.5
325,3,55313,2,4,9,140,70,88,500679.5
326,6,145766,1,6,8,147,114,69,53040
327,4,122589,1,9,8,200,96,85,274453.5
328,3,56201,5,6,11,144,84,115,527409.5
329,7,113078,3,5,15,173,74,119,275670
330,3,52498,1,5,12,137,79,95,458833.5
331,5,99114,3,2,14,189,120,86,293424.5
332,2,125519,3,8,8,185,105,109,267953.5
333,5,120404,5,1,15,169,71,130,230797
334,5,66345,4,8,12,185,82,92,500164
335,7,81955,5,3,14,190,87,70,315914.5
336,7,116289,1,5,14,145,88,89,169674.5
337,2,68343,3,3,13,157,103,105,408203.5
338,7,70600,1,5,12,161,53,75,413424.5
339,4,60919,4,6,12,160,118,99,492951
340,6,117727,4,6,13,200,116,74,224958.5
341,6,104526,5,8,8,188,88,98,282821.5
342,3,90028,3,10,8,163,119,93,476955.5
343,4,94388,2,6,15,162,65,124,344339.5
344,6,149191,1,3,8,184,100,103,28226.5
345,3,81786,1,1,13,138,91,69,379608
346,5,128700,5,3,14,144,62,97,238941
347,6,145066,4,2,15,145,118,120,111175.5
348,6,100726,4,7,12,187,91,121,316387.5
349,6,128355,2,4,14,185,53,100,224745
350,7,67912,1,1,12,136,120,101,494542
351,6,98217,2,4,11,190,76,106,335093.5
352,4,100348,4,9,9,179,65,70,410403.5
353,6,130890,3,9,9,168,85,89,197320
354,5,120477,2,3,15,178,77,127,235843
355,7,103222,2,1,9,198,78,68,310987
356,5,132078,1,1,9,194,90,138,219127
357,4,132690,2,6,12,172,100,137,109828.5
358,5,148135,2,8,9,159,104,89,115351
359,3,92412,4,9,11,138,54,130,326161.5
360,4,128326,4,2,11,145,106,87,124183.5
361,6,75011,1,1,8,187,65,99,401120.5
362,4,139859,3,6,14,188,54,73,227669
363,6,119737,2,9,11,155,80,119,260801
364,2,53573,2,8,13,181,120,72,549406
365,6,67098,5,2,12,193,110,121,470890.5
366,7,135791,5,9,10,143,104,101,197377.5
367,5,67836,4,1,8,174,94,121,360737.5
368,3,115714,4,5,14,140,95,110,206836.5
369,4,68294,5,4,10,163,65,89,368522.5
370,4,56985,4,10,15,145,107,73,496293.5
371,4,91130,4,8,11,165,79,133,332812
372,3,92691,4,5,15,145,99,97,400027.5
373,3,65293,4,4,10,193,105,69,406349.5
374,4,140296,4,5,15,200,94,85,62737
375,5,95730,5,8,14,170,91,123,304818
376,5,60213,4,8,13,165,88,79,547746
377,4,51554,5,5,9,148,96,70,460780
378,6,51032,2,7,8,150,59,128,537014
379,6,91202,4,8,13,177,69,96,360410
380,2,68391,2,6,9,146,70,116,421679.5
381,7,106846,4,6,11,145,75,128,178180.5
382,2,139330,4,10,10,191,72,124,180948
383,3,109589,2,3,14,164,93,101,244229
384,4,92461,5,10,12,194,78,105,428602.5
385,3,132274,4,7,14,147,54,100,201188.5
386,7,100188,4,4,14,143,91,117,385556.5
387,4,145992,2,7,12,182,106,82,98489.5
388,3,59089,3,1,10,171,102,130,379725
389,6,62768,1,1,13,165,73,79,472081
390,2,138175,1,5,10,193,93,100,153375.5
391,3,61880,3,8,10,179,102,81,505223.5
392,2,71716,2,6,11,163,68,74,365136.5
393,7,104233,1,6,9,156,82,110,284727.5
394,7,81086,3,6,12,191,100,103,306690
395,3,81037,4,3,12,175,108,95,307096
396,7,65717,1,8,10,186,65,81,429837.5
397,5,107058,2,4,15,189,89,102,303506.5
398,7,92598,5,7,14,186,86,120,289117
399,6,121264,3,2,9,198,113,86,250771
400,7,53183,4,9,13,139,90,133,582347
401,7,105792,4,8,15,153,86,95,239746
402,2,140760,5,7,12,167,82,83,144191.5
403,2,124399,3,7,8,159,107,96,241487.5
404,7,137368,3,10,12,168,86,78,183833.5
405,5,91030,4,4,11,163,84,108,308643.5
406,2,120388,3,3,13,151,65,119,235251.5
407,6,85398,1,1,13,139,108,77,271956
408,3,147460,5,2,12,152,70,80,160597.5
409,5,99194,1,2,9,195,51,118,328863
410,4,66427,1,7,9,158,88,88,446487.5
411,3,124079,4,2,15,137,94,92,137514
412,5,50648,3,4,11,140,112,78,507799
413,4,147265,5,4,12,181,65,126,126957.5
414,2,123317,2,2,13,180,88,125,188131.5
415,7,137660,2,10,14,189,96,111,181414.5
416,5,143820,1,7,13,138,113,119,87769
417,5,76805,2,1,9,135,104,121,417940
418,5,101889,3,8,15,187,54,139,237204
419,4,50512,2,6,8,144,68,79,506401
420,4,71337,2,1,9,185,72,88,425567.5
421,2,129891,5,2,11,144,57,72,207480.5
422,4,92823,5,9,15,189,119,91,327994
423,6,84933,3,9,14,159,105,128,427132.5
424,4,58427,5,7,13,181,53,128,503307.5
425,6,149529,1,4,14,147,73,103,112604
426,3,59619,1,3,15,142,120,93,440044.5
427,2,81695,2,5,13,150,78,130,395188
428,6,119862,4,9,9,143,89,88,289570.5
429,4,137714,1,9,13,197,83,85,275781
430,6,115379,5,8,14,161,64,119,253055
431,6,134717,4,10,11,164,66,126,159309.5
432,2,74905,4,6,13,169,72,97,338141.5
433,3,111622,1,8,15,135,91,135,216327
434,3,124833,4,7,10,197,55,82,158031.5
435,4,71450,5,4,10,184,120,74,471527.5
436,3,96686,5,4,10,190,115,140,320008
437,7,66552,1,5,14,165,98,68,376446
438,5,132105,1,5,9,152,93,96,120583.5
439,5,100534,1,9,15,137,72,119,253853.5
440,7,71977,5,3,15,160,72,123,419713
441,4,63934,1,3,11,198,91,137,405505
442,5,81284,5,10,15,152,62,124,356606.5
443,5,68212,5,7,12,172,73,78,420401
444,7,113232,2,5,12,199,86,139,170838.5
445,4,128177,2,10,15,191,52,106,184571
446,5,140227,5,1,15,160,107,125,80996
447,2,109453,5,4,13,159,99,105,274075
448,5,113147,3,5,9,189,84,104,275045.5
449,6,55592,4,4,15,142,56,85,441395.5
450,5,132856,1,6,10,136,119,110,132026.5
451,7,140455,4,5,13,137,71,86,76772
452,2,113723,3,6,13,173,116,116,283208
453,2,122105,5,3,13,147,114,80,299655
454,6,147206,3,4,14,193,98,115,122567.5
455,2,61132,1,2,9,169,106,76,439864.5
456,3,64481,5,1,14,163,113,108,455824.5
457,4,59806,2,2,8,156,59,126,441863.5
458,3,51513,3,4,10,146,108,127,479896
459,7,61687,4,2,8,154,69,74,456840.5
460,5,110234,2,1,13,176,82,94,266341
461,4,89677,3,6,9,142,87,122,284094.5
462,4,136468,1,6,13,195,70,140,131893.5
463,6,96129,2,9,9,157,52,91,393351
464,7,118943,2,4,14,150,85,110,200408.5
465,7,133038,3,4,15,184,84,77,228892.5
466,4,87263,2,10,15,137,76,120,443528
467,3,133466,4,2,9,161,99,85,97969
468,3,149565,5,1,9,151,71,125,122843.5
469,7,99340,5,10,13,143,68,135,320391.5
470,7,123383,4,1,12,164,77,109,136079
471,7,72223,2,8,12,163,113,93,413954.5
472,6,146425,1,10,11,149,50,69,238638.5
473,6,57881,5,10,8,189,99,114,501662.5
474,2,132215,3,7,12,137,100,108,178991.5
475,7,67520,2,9,9,141,103,75,432951.5
476,2,106506,3,9,10,174,106,120,312703
477,7,143458,2,6,9,192,74,125,135309
478,6,89533,1,5,12,180,72,90,385248.5
479,4,133726,1,6,15,170,115,68,155719
480,4,125045,4,7,11,151,50,124,146787
481,4,52568,1,1,12,151,76,73,433602
482,7,142201,5,1,12,135,65,114,207552
483,5,63448,1,9,13,173,100,138,508087
484,6,101139,1,8,11,200,106,107,273659.5
485,3,132129,2,8,12,200,95,79,126791.5
486,7,132498,1,5,11,164,69,94,174399
487,4,76480,2,7,12,167,64,140,427496
488,3,72714,5,3,12,151,100,112,388376
489,2,132059,2,8,13,150,87,87,225917
490,3,71598,5,1,12,195,97,70,443423
491,3,109500,2,2,11,149,68,133,302929.5
492,5,53831,4,2,14,161,106,100,515167.5
493,7,129507,2,4,14,163,75,115,197430.5
494,5,121739,3,3,11,166,77,132,268200.5
495,3,56023,4,8,11,165,101,81,448106.5
496,5,53658,2,7,11,167,63,91,456653.5
497,4,79429,3,6,14,170,76,92,318858
498,5,113365,4,3,14,156,95,116,240353.5
499,6,141565,1,9,13,146,95,128,77167
500,2,92230,1,6,10,196,73,78,315841.5
501,3,119539,4,7,9,142,87,104,190956.5
502,6,124010,5,3,15,137,102,120,287675
503,7,136402,1,1,12,195,74,85,169954
504,2,61612,1,5,9,152,54,101,415103
505,4,143994,5,4,11,135,89,101,169471
506,6,64839,3,10,15,181,86,122,518211
507,6,125638,1,9,15,143,101,94,288556.5
508,7,61910,5,4,10,162,113,106,377108.5
509,7,93188,1,7,8,181,81,96,293841
510,4,95556,5,1,8,150,95,103,256476.5
511,7,88825,1,6,13,143,73,97,339888
512,7,95846,4,10,13,150,66,140,324373
513,4,130393,3,6,14,195,77,137,221781
514,6,90969,1,4,11,179,120,100,275757
515,7,101621,5,8,12,140,57,71,295013
516,2,62188,2,8,8,165,94,77,466398
517,4,144010,5,10,14,188,91,127,223885
518,2,149654,4,4,9,145,76,133,111185
519,2,83022,4,6,8,179,109,75,327075.5
520,5,125066,1,10,12,152,106,115,265799.5
521,6,67036,5,6,15,167,51,75,430451.5
522,3,82191,5,1,9,139,107,99,383570.5
523,6,123580,3,10,11,144,73,73,221972.5
524,5,123416,3,5,10,153,86,74,229110
525,6,139432,5,1,11,168,117,123,196639.5
526,6,89816,1,5,12,170,57,72,328698
527,4,128006,5,10,10,149,92,132,248119.5
528,7,95246,4,2,8,193,75,85,308376.5
529,4,147871,2,5,9,198,107,84,135874
530,5,98776,1,8,13,157,61,115,299019.5
531,4,95020,5,2,14,182,65,81,392097.5
532,3,76306,2,3,13,161,85,112,328973.5
533,3,60176,4,8,15,151,87,135,516466
534,7,83524,2,8,13,194,97,114,424107.5
535,6,90941,1,7,10,196,82,93,321363
536,5,95921,2,9,15,195,101,96,340961.5
537,5,88960,3,2,12,143,71,70,283184
538,7,113889,5,5,15,150,85,74,258268.5
539,5,126362,5,7,11,140,61,80,126070.5
540,6,124610,3,1,11,159,71,127,159647
541,3,96723,4,2,11,143,114,73,288926
542,7,97061,4,3,8,176,118,75,308220.5
543,4,54562,1,3,11,145,90,115,486699
544,4,77441,5,4,10,173,67,79,367734.5
545,4,89421,4,9,13,188,55,83,362377
546,6,117501,2,9,15,189,104,113,253037
547,3,115636,4,8,12,142,105,93,240296.5
548,2,78535,3,4,8,185,73,125,400606.5
549,6,103918,4,7,14,145,115,102,273761
550,6,68188,4,7,10,186,86,135,408405.5
551,3,69965,1,4,8,144,118,125,415231.5
552,2,124499,1,10,12,181,54,95,208189.5
553,6,118013,1,6,14,151,62,83,278993.5
554,3,147282,3,8,14,169,101,106,174352.5
555,2,143242,3,8,9,160,106,121,103742.5
556,2,81525,1,10,14,135,81,136,431060
557,3,56331,3,9,13,183,107,72,528418.5
558,7,117240,4,9,15,148,73,77,221510
559,7,140740,3,8,11,176,112,129,102144.5
560,7,146906,3,3,12,163,76,128,108354
561,5,96357,4,5,12,181,104,82,225669.5
562,6,148724,2,5,13,170,62,126,71314
563,4,138261,2,9,10,169,119,104,163814
564,3,112885,4,9,14,160,69,92,243006.5
565,4,98867,2,8,15,196,59,121,387321.5
566,4,66618,2,9,9,172,63,114,526394
567,3,123556,4,9,15,162,74,79,237954
568,4,117511,3,1,13,139,120,123,246242
569,7,72872,4,8,14,174,61,140,474562.5
570,3,69779,4,6,15,176,56,114,376267.5
571,6,58928,4,1,13,180,108,85,425083.5
572,3,124328,4,8,12,186,101,125,175810
573,2,75622,2,6,10,200,120,114,397183
574,7,96596,3,9,9,192,52,104,312454.5
575,7,95728,4,7,11,199,64,77,249765.5
576,4,65756,3,3,9,200,66,69,454168.5
577,4,77196,3,4,14,155,85,95,371227
578,6,122677,5,6,14,196,82,76,206296.5
579,2,126760,5,4,9,165,56,98,232718.5
580,4,97989,5,10,15,135,74,99,421655.5
581,2,108683,4,4,8,152,53,133,231291.5
582,3,66721,2,10,11,138,97,95,491123
583,4,78060,5,2,10,187,120,107,349780
584,6,123166,3,6,14,191,101,121,264084.5
585,7,57688,3,5,13,184,116,92,492753
586,6,53075,5,7,9,200,73,117,492171
587,5,128071,4,5,12,171,82,119,146527
588,7,61116,2,10,12,185,65,72,451140.5
589,4,135529,2,1,11,154,66,88,153371.5
590,6,93572,5,10,15,142,56,115,422774.5
591,5,52227,1,1,14,157,54,136,520084
592,4,50888,5,4,12,151,89,102,497572.5
593,5,76648,3,9,15,198,96,85,510361.5
594,7,70597,1,3,13,191,107,106,410516
595,6,60233,4,4,12,173,72,125,499647
596,2,139535,3,10,13,199,100,84,226087.5
597,6,104912,2,1,11,176,70,137,305589
598,3,118604,3,7,11,137,78,81,218665.5
599,3,97223,1,3,12,173,99,135,337257
600,2,113230,4,8,12,146,109,121,313095.5
601,2,62260,1,9,8,149,107,71,500903
602,2,73313,4,10,13,164,53,96,452931
603,7,61478,4,5,8,161,55,75,390305.5
604,3,130989,1,4,13,189,89,69,125454
605,3,51693,3,1,12,138,112,107,509506.5
